Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
163307,DIXON PHANO CHINA MARKER BLACK,3,0.8292,0.4615,"Jakarta Pusat, Jakarta Timur",Regional
200001869,CANSON XL EXTRA WHITE 60S A5 90G,3,0.9514,0.4324,Jakarta Timur,Regional
200001872,CANSON XL MIX MEDIA 15S A5 300G,3,0.9162,0.4681,Jakarta Timur,Regional
200006456,"CANSON UNIVERSAL ART BOOK 112S 14x21,6 96G",3,0.8342,0.5455,Jakarta Timur,Regional
2001120,"2600M12 LYRA-POLYCOLOR PENCILS,TIN BOX/12 ASSRT.",3,0.8194,0.6071,Jakarta Pusat,Regional
2001122,"2610M12 LYRA-POLYCOL.PENCILS,TIN BOX/12ASST.GREY",3,0.9629,0.4615,Jakarta Pusat,Regional
2001360,2600M36 LYRA-REMB.POLY.+SPLENDER PENCILS 36 PCS,3,0.8410,0.4746,Jakarta Pusat,Regional
2001720,2600M72 LYRA REMBRANDT POLYCOLOR 72,3,0.9488,0.4167,Jakarta Pusat,Regional
200297231,CANSON MARKER 70S A4 70G,3,0.9808,0.4082,Jakarta Utara,Regional
200297236,CANSON XL MARKER 100S A4 70G,3,0.9477,0.4615,Jakarta Utara,Regional
200297237,806001 LYRA MODELLING CLAY 500GR WHITE,3,0.9019,0.4667,Jakarta Utara,Regional
200387200,CANSON ILLUSTARTION 12S A4 250G,3,0.9992,0.3509,Jakarta Utara,Regional
200387201,CANSON ILLUSTARTION 12S A3 250G,3,0.9056,0.5455,Jakarta Timur,Regional
200457120,CANSON BRISTOL 20S A4 250G,3,0.9699,0.4375,Jakarta Timur,Regional
200457121,CANSON BRISTOL 20S A3 250G,3,0.9799,0.4091,Jakarta Timur,Regional
200787103,CANSON XL SKETCH 120S A4 90G,3,0.9192,0.5200,Jakarta Timur,Regional
200787500,CANSON XL EXTRA WHITE 120S A4 90G,3,0.8895,0.5357,Jakarta Timur,Regional
200787501,CANSON XL EXTRA WHITE 120S A3 90G,3,0.9141,0.4286,"Jakarta Timur, Jakarta Utara",Regional
200801103,CANSON MONTVAL,3,0.6257,0.7500,Jakarta Pusat,Regional
200802101,CANSON MONTVAL 152X1000 CP 300G,3,0.4195,0.8750,Jakarta Pusat,Regional
200807215,CANSON XL MIX MEDIA 30S A4 300G,3,0.9752,0.4457,Jakarta Timur,Regional
200807216,CANSON XL MIX MEDIA 30S A3 300G,3,0.9250,0.4731,Jakarta Timur,Regional
200807408,CANSON ACRYLIC 10S 24X32 400G,3,0.7099,0.5610,Jakarta Timur,Regional
204127414,CANSON 1557-JA DRAWING 30S A4 180G,3,0.9545,0.4500,Jakarta Pusat,Regional
204127415,CANSON 1557-JA DRAWING 30S A3 180G,3,0.9740,0.4474,Jakarta Utara,Regional
2081601,373F01 LYRA-ART BRUSH FLAT #01,3,0.8360,0.5000,Jakarta Timur,Regional
2081603,373F03 LYRA-ART BRUSH FLAT #03,3,0.8528,0.5556,Jakarta Utara,Regional
2081605,373F05 LYRA-ART BRUSH FLAT #05,3,0.8783,0.4444,"Jakarta Timur, Jakarta Utara",Regional
2081607,373F07 LYRA-ART BRUSH FLAT #07,3,0.8194,0.6250,Jakarta Utara,Regional
2081612,373F12 LYRA-ART BRUSH FLAT #12,3,0.4879,0.8462,Jakarta Utara,Regional
2081616,373F16 LYRA-ART BRUSH FLAT #16,3,0.4384,0.8571,Jakarta Utara,Regional
212500100,GRADUATE BRUSH ZIP CASE 10 BRUSHES,3,0.9464,0.5000,Jakarta Utara,Regional
216910110,Simply WC Natural Mix SH Brush Set 10pc,3,0.9447,0.4286,Jakarta Timur,Regional
216910300,Simply WC Natural SH Brush Set 3pc #1,3,0.9240,0.5312,Jakarta Pusat,Regional
216910301,Simply WC Natural SH Brush Set 3pc #2,3,0.8269,0.6296,Jakarta Pusat,Regional
216910400,Simply WC Natural SH Brush Set 4pc,3,0.7214,0.6364,Jakarta Pusat,Regional
216910401,Simply WC Sable SH Brush Set 4pc,3,0.8956,0.5385,Jakarta Pusat,Regional
216910500,Simply WC Natural Brush Set 5pc,3,0.9604,0.4706,Jakarta Pusat,Regional
216920100,Simply AC G Taklon Mega Brush Set 1pc,3,0.9821,0.4286,Jakarta Utara,Regional
216920110,Simply AC G Taklon LH Brush Set 10pc,3,0.9891,0.4074,Jakarta Timur,Regional
216920400,Simply AC G Taklon SH Brush Set 4pc #1,3,0.7777,0.5556,Jakarta Pusat,Regional
216920401,Simply AC G Taklon SH Brush Set 4pc #2,3,0.9136,0.5000,Jakarta Pusat,Regional
216920402,Simply AC G Taklon SH Brush Set 4pc #3,3,0.9878,0.4000,Jakarta Pusat,Regional
216920403,Simply AC G Taklon SH Brush Set 4pc #4,3,0.8846,0.4706,Jakarta Pusat,Regional
216920500,Simply AC G Taklon SH Brush Set 5pc #1,3,0.9436,0.5000,Jakarta Pusat,Regional
216920501,Simply AC G Taklon SH Brush Set 5pc #2,3,0.8950,0.4375,"Jakarta Pusat, Jakarta Timur",Regional
216920502,Simply AC G Taklon SH Brush Set 5pc #3,3,0.9206,0.5000,Jakarta Timur,Regional
216920600,Simply AC G Taklon SH Brush Set 6pc #1,3,0.9206,0.5000,Jakarta Timur,Regional
216920601,Simply AC G Taklon SH Brush Set 6pc #2,3,1.0000,0.3333,"Jakarta Pusat, Jakarta Timur, Jakarta Utara",Regional
216920700,Simply AC G Taklon SH Brush Set 7pc,3,0.9787,0.4375,Jakarta Pusat,Regional
216940100,Simply Oil Bristle Mega Brush Set 1pc,3,0.8956,0.5385,Jakarta Pusat,Regional
216940110,Simply Oil Bristle LH Brush Set 10pc,3,0.8281,0.6316,Jakarta Pusat,Regional
216940300,Simply Oil Bristle SH Brush Set 3pc #1,3,0.6022,0.7879,Jakarta Pusat,Regional
216940301,Simply Oil Bristle SH Brush Set 3pc #2,3,0.7316,0.7037,Jakarta Pusat,Regional
216940400,Simply Oil Bristle SH Brush Set 4pc #1,3,0.7878,0.6667,Jakarta Pusat,Regional
216940401,Simply Oil Bristle LH Brush Set 4pc #2,3,0.7997,0.6316,Jakarta Pusat,Regional
216940402,Simply Oil Bristle LH Brush Set 4pc #3,3,0.9056,0.5455,Jakarta Pusat,Regional
216940600,Simply Oil Mixed LH Brush Set 6pc,3,0.9432,0.4545,Jakarta Pusat,Regional
216940601,Simply Oil Bristle LH Brush Set 6pc,3,0.7897,0.6667,Jakarta Pusat,Regional
216940700,Simply Oil Bristle LH Brush Set 7pc,3,0.9417,0.5000,Jakarta Pusat,Regional
256800,GIOTTO STILNOVO ERASABLE CARDBOARD 10 COLS,3,0.9851,0.3750,"Jakarta Pusat, Jakarta Utara",Regional
275800,GIOTTO ELIOS TRI 12 COLORS CARDBOARD,3,0.6269,0.7736,Jakarta Pusat,Regional
275900,GIOTTO ELIOS TRI 24 COLORS CARDBOARD,3,0.7311,0.7021,Jakarta Pusat,Regional
277400,"BOX 12 GIOTTO COLOR 3,0 TRIANGULAR",3,0.9432,0.4545,Jakarta Utara,Regional
277500,"BOX 24 GIOTTO COLOR 3,0 TRIANGULAR",3,0.8292,0.4615,"Jakarta Timur, Jakarta Utara",Regional
277600,"BOX 36 GIOTTO COLOR 3,0 TRIANGULAR",3,0.7282,0.5926,Jakarta Timur,Regional
2821360,LYRA GROOVE SLIM COLOUR PENCIL 36 COLS,3,0.8535,0.5952,Jakarta Pusat,Regional
282200,GIOTTO CERA 24 COLOUR,3,0.9289,0.5250,Jakarta Pusat,Regional
2871240,LYRA GRADUATE METAL BOX 24 COLS,3,0.6696,0.7500,Jakarta Timur,Regional
2871360,LYRA GRADUATE METAL BOX 36 COLS,3,0.8587,0.5000,Jakarta Pusat,Regional
291200,GIOTTO CERA MAXI 12 COLS.,3,0.9190,0.5333,Jakarta Pusat,Regional
293300,GIOTTO OIL PASTEL PP CASE 36 COLS,3,0.5932,0.7586,Jakarta Pusat,Regional
294000,GIOTTO OLIO OIL PASTELS 12 COLS,3,0.7298,0.7000,Jakarta Pusat,Regional
